listing available az cli extensions ...
Name                            Version    Summary                                                                                                                                                                          Preview    Experimental    Installed
portal                          0.1.1      Microsoft Azure Command-Line Tools Portal Extension                                                                                                                              False      True            False
powerbidedicated                0.1.1      Microsoft Azure Command-Line Tools PowerBIDedicated Extension                                                                                                                    True       False           False
privatedns                      0.1.1      Commands to manage Private DNS Zones                                                                                                                                             True       False           False
resource-graph                  1.1.0      Support for querying Azure resources with Resource Graph.                                                                                                                        True       False           False
sap-hana                        0.6.4      Additional commands for working with SAP HanaOnAzure instances.                                                                                                                  False      False           False
scheduled-query                 0.2.0      Microsoft Azure Command-Line Tools Scheduled_query Extension                                                                                                                     True       False           False
spring-cloud                    1.1.1      Microsoft Azure Command-Line Tools spring-cloud Extension                                                                                                                        False      False           True (upgrade available)
ssh                             0.1.0      SSH into VMs                                                                                                                                                                     True       False           False
stack-hci                       0.1.0      Microsoft Azure Command-Line Tools AzureStackHCIClient Extension                                                                                                                 False      True            False
storage-blob-preview            0.3.0      Microsoft Azure Command-Line Tools Storage-blob-preview Extension                                                                                                                True       False           False
storage-or-preview              0.4.0      Microsoft Azure Command-Line Tools Storage-ors-preview Extension                                                                                                                 True       False           False
storage-preview                 0.4.0      Provides a preview for upcoming storage features.                                                                                                                                True       False           True (upgrade available)
storagesync                     0.1.0      Microsoft Azure Command-Line Tools MicrosoftStorageSync Extension                                                                                                                False      True            False
stream-analytics                0.1.0      Microsoft Azure Command-Line Tools stream-analytics Extension                                                                                                                    False      True            True
subscription                    0.1.4      Support for subscription management preview.                                                                                                                                     True       False           False
support                         1.0.2      Microsoft Azure Command-Line Tools Support Extension                                                                                                                             False      False           False
synapse                         0.3.0      Microsoft Azure Command-Line Tools Synapse Extension                                                                                                                             True       False           True (upgrade available)
timeseriesinsights              0.1.3      Microsoft Azure Command-Line Tools TimeSeriesInsightsClient Extension                                                                                                            False      True            False
virtual-network-tap             0.1.0      Manage virtual network taps (VTAP).                                                                                                                                              True       False           False
virtual-wan                     0.2.1      Manage virtual WAN, hubs, VPN gateways and VPN sites.                                                                                                                            True       False           False
vm-repair                       0.3.3      Auto repair commands to fix VMs.                                                                                                                                                 False      False           False
vmware                          0.7.2      Azure VMware Solution commands.                                                                                                                                                  False      False           False
webapp                          0.2.24     Additional commands for Azure AppService.                                                                                                                                        True       False           False
listing installed az cli extensions ...
Experimental    ExtensionType    Name              Path                                                  Preview    Version
--------------  ---------------  ----------------  ----------------------------------------------------  ---------  ---------
False           whl              azure-iot         /Users/cjoakim/.azure/cliextensions/azure-iot         False      0.9.7
True            whl              stream-analytics  /Users/cjoakim/.azure/cliextensions/stream-analytics  False      0.1.0
True            whl              datafactory       /Users/cjoakim/.azure/cliextensions/datafactory       False      0.1.0
False           whl              databricks        /Users/cjoakim/.azure/cliextensions/databricks        True       0.5.0
False           whl              storage-preview   /Users/cjoakim/.azure/cliextensions/storage-preview   True       0.2.10
False           whl              synapse           /Users/cjoakim/.azure/cliextensions/synapse           True       0.2.0
False           whl              spring-cloud      /Users/cjoakim/.azure/cliextensions/spring-cloud      False      0.1.0
done
